,상품명,url,tags
48,라이트웨이트 세미 와이드 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1312035,"['#라이트웨이트컬렉션', '#셋업', '#퍼펙트슬랙스', '#허리밴딩', '#정장바지', '#여름슬랙스', '#와이드핏', '#라이트웨이트']"
49,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],https://www.musinsa.com/app/goods/1216295,"['#정장바지', '#퍼펙트슬랙스', '#정장팬츠', '#기본슬랙스', '#트라우저', '#허리밴딩', '#셋업', '#무탠픽업']"
50,베이식 크루 넥 반팔 티셔츠 [블랙],https://www.musinsa.com/app/goods/996498,"['#기본티', '#라운드넥', '#면티셔츠', '#무지티', '#반팔티', '#MU-T']"
51,라이트웨이트 베이식 블레이저 [블랙],https://www.musinsa.com/app/goods/965917,"['#블레이저', '#셋업', '#정장', '#수트', '#여름자켓', '#여름블레이저', '#라이트웨이트']"
52,우먼즈 플랫 테리 와이드 라운지 스웨트 팬츠 [블랙],https://www.musinsa.com/app/goods/1324127,"['#무신사스탠다드우먼즈', '#트레이닝복', '#우먼즈스웨트컬렉션', '#라운지웨어', '#트레이닝팬츠', '#바지', '#스웨트시리즈', '#스웨트컬렉션', '#무탠픽업']"
53,크루 넥 긴팔 티셔츠 [블랙],https://www.musinsa.com/app/goods/996234,"['#기본티', '#긴팔티', '#라운드넥', '#무지티', '#MU-T', '#무탠픽업', '#긴소매티']"
54,세미 와이드 슬릿 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1221497,"['#루즈핏', '#와이드핏', '#정장바지', '#퍼펙트슬랙스', '#셋업', '#밴딩팬츠', '#트라우저', '#기본슬랙스', '#무탠픽업']"
55,스웨트 팬츠 [멜란지 그레이],https://www.musinsa.com/app/goods/947202,"['#스웨트셋업', '#스웨트컬렉션', '#이지웨어', '#트랙팬츠', '#트레이닝팬츠', '#조거', '#스웨트팬츠', '#무탠픽업', '#시즌오프캐주얼팬츠']"
56,와이드 히든 밴딩 슬랙스 [더스티 베이지],https://www.musinsa.com/app/goods/1249102,"['#정장바지', '#퍼펙트슬랙스', '#트라우저', '#셋업', '#와이드팬츠', '#루즈핏', '#와이드핏', '#무탠픽업']"
57,[유아인 착용 상품] [쿨탠다드] 릴렉스 핏 크루 넥 반팔...,https://www.musinsa.com/app/goods/1388775,"['#기능성', '#MU-T', '#라운드넥', '#여름티', '#무지티', '#무탠픽업', '#유아인착장상품']"
58,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,https://www.musinsa.com/app/goods/2122566,"['#라운드넥', '#레귤러핏', '#무지티', '#베이직티', '#기본티셔츠', '#MU-T', '#세트상품', '#레이어드티셔츠', '#티셔츠컬렉션']"
